pl_name,hostname,discoverymethod,disc_year,disc_facility
11 Com b,11 Com,Radial Velocity,2007,Xinglong Station
11 Com b,11 Com,Radial Velocity,2007,Xinglong Station
11 UMi b,11 UMi,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg
11 UMi b,11 UMi,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg
11 UMi b,11 UMi,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg
14 And b,14 And,Radial Velocity,2008,Okayama Astrophysical Observatory
14 And b,14 And,Radial Velocity,2008,Okayama Astrophysical Observatory
14 Her b,14 Her,Radial Velocity,2002,W. M. Keck Observatory
14 Her b,14 Her,Radial Velocity,2002,W. M. Keck Observatory
14 Her b,14 Her,Radial Velocity,2002,W. M. Keck Observatory
14 Her b,14 Her,Radial Velocity,2002,W. M. Keck Observatory
14 Her b,14 Her,Radial Velocity,2002,W. M. Keck Observatory
14 Her b,14 Her,Radial Velocity,2002,W. M. Keck Observatory
14 Her b,14 Her,Radial Velocity,2002,W. M. Keck Observatory
14 Her b,14 Her,Radial Velocity,2002,W. M. Keck Observatory
16 Cyg B b,16 Cyg B,Radial Velocity,1996,Multiple Observatories
16 Cyg B b,16 Cyg B,Radial Velocity,1996,Multiple Observatories
16 Cyg B b,16 Cyg B,Radial Velocity,1996,Multiple Observatories
16 Cyg B b,16 Cyg B,Radial Velocity,1996,Multiple Observatories
16 Cyg B b,16 Cyg B,Radial Velocity,1996,Multiple Observatories
16 Cyg B b,16 Cyg B,Radial Velocity,1996,Multiple Observatories
17 Sco b,17 Sco,Radial Velocity,2020,Lick Observatory
18 Del b,18 Del,Radial Velocity,2008,Okayama Astrophysical Observatory
18 Del b,18 Del,Radial Velocity,2008,Okayama Astrophysical Observatory
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008,Gemini Observatory
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008,Gemini Observatory
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008,Gemini Observatory
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008,Gemini Observatory
24 Boo b,24 Boo,Radial Velocity,2018,Okayama Astrophysical Observatory
24 Sex b,24 Sex,Radial Velocity,2010,Lick Observatory
24 Sex c,24 Sex,Radial Velocity,2010,Lick Observatory
2M0437 b,2MASS J04372171+2651014,Imaging,2021,Subaru Telescope
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,Imaging,2013,Paranal Observatory
2MASS J01225093-2439505 b,2MASS J01225093-2439505,Imaging,2013,W. M. Keck Observatory
2MASS J01225093-2439505 b,2MASS J01225093-2439505,Imaging,2013,W. M. Keck Observatory
2MASS J02192210-3925225 b,2MASS J02192210-3925225,Imaging,2015,Cerro Tololo Inter-American Observatory
2MASS J04414489+2301513 b,2MASS J04414489+2301513,Imaging,2010,Hubble Space Telescope
2MASS J12073346-3932539 b,2MASS J12073346-3932539,Imaging,2004,Paranal Observatory
2MASS J12073346-3932539 b,2MASS J12073346-3932539,Imaging,2004,Paranal Observatory
2MASS J19383260+4603591 b,2MASS J19383260+4603591,Eclipse Timing Variations,2015,Kepler
2MASS J19383260+4603591 b,2MASS J19383260+4603591,Eclipse Timing Variations,2015,Kepler
2MASS J22362452+4751425 b,2MASS J22362452+4751425,Imaging,2016,W. M. Keck Observatory
30 Ari B b,30 Ari B,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg
30 Ari B b,30 Ari B,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg
30 Ari B b,30 Ari B,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg
4 UMa b,4 UMa,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg
42 Dra b,42 Dra,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg
47 UMa b,47 UMa,Radial Velocity,1996,Lick Observatory
47 UMa b,47 UMa,Radial Velocity,1996,Lick Observatory
47 UMa b,47 UMa,Radial Velocity,1996,Lick Observatory
47 UMa b,47 UMa,Radial Velocity,1996,Lick Observatory
47 UMa b,47 UMa,Radial Velocity,1996,Lick Observatory
47 UMa c,47 UMa,Radial Velocity,2001,Lick Observatory
47 UMa c,47 UMa,Radial Velocity,2001,Lick Observatory
47 UMa c,47 UMa,Radial Velocity,2001,Lick Observatory
47 UMa d,47 UMa,Radial Velocity,2009,Lick Observatory
47 UMa d,47 UMa,Radial Velocity,2009,Lick Observatory
51 Eri b,51 Eri,Imaging,2015,Gemini Observatory
51 Eri b,51 Eri,Imaging,2015,Gemini Observatory
51 Eri b,51 Eri,Imaging,2015,Gemini Observatory
51 Peg b,51 Peg,Radial Velocity,1995,Haute-Provence Observatory
51 Peg b,51 Peg,Radial Velocity,1995,Haute-Provence Observatory
51 Peg b,51 Peg,Radial Velocity,1995,Haute-Provence Observatory
51 Peg b,51 Peg,Radial Velocity,1995,Haute-Provence Observatory
51 Peg b,51 Peg,Radial Velocity,1995,Haute-Provence Observatory
55 Cnc b,55 Cnc,Radial Velocity,1996,Lick Observatory
55 Cnc b,55 Cnc,Radial Velocity,1996,Lick Observatory
55 Cnc b,55 Cnc,Radial Velocity,1996,Lick Observatory
55 Cnc b,55 Cnc,Radial Velocity,1996,Lick Observatory
55 Cnc b,55 Cnc,Radial Velocity,1996,Lick Observatory
55 Cnc b,55 Cnc,Radial Velocity,1996,Lick Observatory
55 Cnc b,55 Cnc,Radial Velocity,1996,Lick Observatory
55 Cnc b,55 Cnc,Radial Velocity,1996,Lick Observatory
55 Cnc b,55 Cnc,Radial Velocity,1996,Lick Observatory
55 Cnc b,55 Cnc,Radial Velocity,1996,Lick Observatory
55 Cnc b,55 Cnc,Radial Velocity,1996,Lick Observatory
55 Cnc b,55 Cnc,Radial Velocity,1996,Lick Observatory
55 Cnc c,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc c,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc c,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc c,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc c,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc c,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc c,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc c,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc d,55 Cnc,Radial Velocity,2002,Lick Observatory
55 Cnc d,55 Cnc,Radial Velocity,2002,Lick Observatory
55 Cnc d,55 Cnc,Radial Velocity,2002,Lick Observatory
55 Cnc d,55 Cnc,Radial Velocity,2002,Lick Observatory
55 Cnc d,55 Cnc,Radial Velocity,2002,Lick Observatory
55 Cnc d,55 Cnc,Radial Velocity,2002,Lick Observatory
55 Cnc d,55 Cnc,Radial Velocity,2002,Lick Observatory
55 Cnc d,55 Cnc,Radial Velocity,2002,Lick Observatory
55 Cnc d,55 Cnc,Radial Velocity,2002,Lick Observatory
55 Cnc d,55 Cnc,Radial Velocity,2002,Lick Observatory
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory
55 Cnc f,55 Cnc,Radial Velocity,2007,Multiple Observatories
55 Cnc f,55 Cnc,Radial Velocity,2007,Multiple Observatories
55 Cnc f,55 Cnc,Radial Velocity,2007,Multiple Observatories
55 Cnc f,55 Cnc,Radial Velocity,2007,Multiple Observatories
55 Cnc f,55 Cnc,Radial Velocity,2007,Multiple Observatories
55 Cnc f,55 Cnc,Radial Velocity,2007,Multiple Observatories
55 Cnc f,55 Cnc,Radial Velocity,2007,Multiple Observatories
6 Lyn b,6 Lyn,Radial Velocity,2008,Okayama Astrophysical Observatory
6 Lyn b,6 Lyn,Radial Velocity,2008,Okayama Astrophysical Observatory
6 Lyn b,6 Lyn,Radial Velocity,2008,Okayama Astrophysical Observatory
61 Vir b,61 Vir,Radial Velocity,2009,Multiple Observatories
61 Vir b,61 Vir,Radial Velocity,2009,Multiple Observatories
61 Vir c,61 Vir,Radial Velocity,2009,Multiple Observatories
61 Vir c,61 Vir,Radial Velocity,2009,Multiple Observatories
61 Vir d,61 Vir,Radial Velocity,2009,Multiple Observatories
7 CMa b,7 CMa,Radial Velocity,2011,Anglo-Australian Telescope
7 CMa b,7 CMa,Radial Velocity,2011,Anglo-Australian Telescope
7 CMa b,7 CMa,Radial Velocity,2011,Anglo-Australian Telescope
7 CMa c,7 CMa,Radial Velocity,2019,Multiple Observatories
70 Vir b,70 Vir,Radial Velocity,1996,Lick Observatory
70 Vir b,70 Vir,Radial Velocity,1996,Lick Observatory
70 Vir b,70 Vir,Radial Velocity,1996,Lick Observatory
70 Vir b,70 Vir,Radial Velocity,1996,Lick Observatory
70 Vir b,70 Vir,Radial Velocity,1996,Lick Observatory
70 Vir b,70 Vir,Radial Velocity,1996,Lick Observatory
75 Cet b,75 Cet,Radial Velocity,2012,Okayama Astrophysical Observatory
8 UMi b,8 UMi,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory
8 UMi b,8 UMi,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory
81 Cet b,81 Cet,Radial Velocity,2008,Okayama Astrophysical Observatory
81 Cet b,81 Cet,Radial Velocity,2008,Okayama Astrophysical Observatory
91 Aqr b,91 Aqr,Radial Velocity,2013,Lick Observatory
AB Aur b,AB Aur,Imaging,2022,Subaru Telescope
AB Pic b,AB Pic,Imaging,2005,Paranal Observatory
AF Lep b,AF Lep,Imaging,2023,Paranal Observatory
AF Lep b,AF Lep,Imaging,2023,Paranal Observatory
AF Lep b,AF Lep,Imaging,2023,Paranal Observatory
AU Mic b,AU Mic,Transit,2020,Transiting Exoplanet Survey Satellite (TESS)
AU Mic b,AU Mic,Transit,2020,Transiting Exoplanet Survey Satellite (TESS)
AU Mic b,AU Mic,Transit,2020,Transiting Exoplanet Survey Satellite (TESS)
AU Mic b,AU Mic,Transit,2020,Transiting Exoplanet Survey Satellite (TESS)
AU Mic b,AU Mic,Transit,2020,Transiting Exoplanet Survey Satellite (TESS)
AU Mic b,AU Mic,Transit,2020,Transiting Exoplanet Survey Satellite (TESS)
AU Mic b,AU Mic,Transit,2020,Transiting Exoplanet Survey Satellite (TESS)
AU Mic b,AU Mic,Transit,2020,Transiting Exoplanet Survey Satellite (TESS)
AU Mic c,AU Mic,Transit,2021,Transiting Exoplanet Survey Satellite (TESS)
AU Mic c,AU Mic,Transit,2021,Transiting Exoplanet Survey Satellite (TESS)
AU Mic c,AU Mic,Transit,2021,Transiting Exoplanet Survey Satellite (TESS)
AU Mic c,AU Mic,Transit,2021,Transiting Exoplanet Survey Satellite (TESS)
BD+03 2562 b,BD+03 2562,Radial Velocity,2017,Multiple Observatories
BD+14 4559 b,BD+14 4559,Radial Velocity,2009,McDonald Observatory
BD+14 4559 b,BD+14 4559,Radial Velocity,2009,McDonald Observatory
BD+15 2375 b,BD+15 2375,Radial Velocity,2016,Roque de los Muchachos Observatory
BD+15 2940 b,BD+15 2940,Radial Velocity,2013,McDonald Observatory
BD+20 2457 b,BD+20 2457,Radial Velocity,2009,McDonald Observatory
BD+20 2457 b,BD+20 2457,Radial Velocity,2009,McDonald Observatory
BD+20 2457 c,BD+20 2457,Radial Velocity,2009,McDonald Observatory
BD+20 274 b,BD+20 274,Radial Velocity,2012,McDonald Observatory
BD+20 594 b,BD+20 594,Transit,2016,K2
BD+20 594 b,BD+20 594,Transit,2016,K2
BD+20 594 b,BD+20 594,Transit,2016,K2
BD+45 564 b,BD+45 564,Radial Velocity,2021,Haute-Provence Observatory
BD+48 738 b,BD+48 738,Radial Velocity,2011,McDonald Observatory
BD+48 740 b,BD+48 740,Radial Velocity,2018,Multiple Observatories
BD+49 828 b,BD+49 828,Radial Velocity,2015,McDonald Observatory
BD+55 362 b,BD+55 362,Radial Velocity,2021,Haute-Provence Observatory
BD+60 1417 b,BD+60 1417,Imaging,2021,Wide-field Infrared Survey Explorer (WISE) Sat
BD+63 1405 b,BD+63 1405,Radial Velocity,2021,Haute-Provence Observatory
BD+63 1405 b,BD+63 1405,Radial Velocity,2021,Haute-Provence Observatory
BD-00 4475 b,BD-00 4475,Radial Velocity,2021,Haute-Provence Observatory
BD-06 1339 b,BD-06 1339,Radial Velocity,2013,La Silla Observatory
BD-06 1339 c,BD-06 1339,Radial Velocity,2013,La Silla Observatory
BD-08 2823 b,BD-08 2823,Radial Velocity,2009,La Silla Observatory
BD-08 2823 b,BD-08 2823,Radial Velocity,2009,La Silla Observatory
BD-08 2823 c,BD-08 2823,Radial Velocity,2009,La Silla Observatory
BD-10 3166 b,BD-10 3166,Radial Velocity,2000,W. M. Keck Observatory
BD-10 3166 b,BD-10 3166,Radial Velocity,2000,W. M. Keck Observatory
BD-10 3166 b,BD-10 3166,Radial Velocity,2000,W. M. Keck Observatory
BD-10 3166 b,BD-10 3166,Radial Velocity,2000,W. M. Keck Observatory
BD-11 4672 b,BD-11 4672,Radial Velocity,2014,La Silla Observatory
BD-11 4672 b,BD-11 4672,Radial Velocity,2014,La Silla Observatory
BD-11 4672 c,BD-11 4672,Radial Velocity,2020,Roque de los Muchachos Observatory
BD-13 2130 b,BD-13 2130,Radial Velocity,2007,La Silla Observatory
BD-13 2130 b,BD-13 2130,Radial Velocity,2007,La Silla Observatory
BD-17 63 b,BD-17 63,Radial Velocity,2008,La Silla Observatory
BD-17 63 b,BD-17 63,Radial Velocity,2008,La Silla Observatory
BD-210397 b,BD-210397,Radial Velocity,2023,La Silla Observatory
BD-210397 c,BD-210397,Radial Velocity,2023,La Silla Observatory
CD Cet b,CD Cet,Radial Velocity,2020,Calar Alto Observatory
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,Imaging,2011,W. M. Keck Observatory
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,Imaging,2021,Hubble Space Telescope
CHXR 73 b,CHXR 73,Imaging,2006,Hubble Space Telescope
CI Tau b,CI Tau,Radial Velocity,2019,Multiple Observatories
COCONUTS-2 b,COCONUTS-2 A,Imaging,2021,NASA Infrared Telescope Facility (IRTF)
CT Cha b,CT Cha,Imaging,2007,Paranal Observatory
CoRoT-1 b,CoRoT-1,Transit,2008,CoRoT
CoRoT-1 b,CoRoT-1,Transit,2008,CoRoT
CoRoT-1 b,CoRoT-1,Transit,2008,CoRoT
CoRoT-1 b,CoRoT-1,Transit,2008,CoRoT
CoRoT-1 b,CoRoT-1,Transit,2008,CoRoT
CoRoT-1 b,CoRoT-1,Transit,2008,CoRoT
CoRoT-1 b,CoRoT-1,Transit,2008,CoRoT
CoRoT-10 b,CoRoT-10,Transit,2010,CoRoT
CoRoT-10 b,CoRoT-10,Transit,2010,CoRoT
CoRoT-10 b,CoRoT-10,Transit,2010,CoRoT
CoRoT-11 b,CoRoT-11,Transit,2010,CoRoT
CoRoT-11 b,CoRoT-11,Transit,2010,CoRoT
CoRoT-11 b,CoRoT-11,Transit,2010,CoRoT
CoRoT-11 b,CoRoT-11,Transit,2010,CoRoT
CoRoT-11 b,CoRoT-11,Transit,2010,CoRoT
CoRoT-12 b,CoRoT-12,Transit,2010,CoRoT
CoRoT-12 b,CoRoT-12,Transit,2010,CoRoT
CoRoT-12 b,CoRoT-12,Transit,2010,CoRoT
CoRoT-12 b,CoRoT-12,Transit,2010,CoRoT
CoRoT-12 b,CoRoT-12,Transit,2010,CoRoT
CoRoT-12 b,CoRoT-12,Transit,2010,CoRoT
CoRoT-13 b,CoRoT-13,Transit,2010,CoRoT
CoRoT-13 b,CoRoT-13,Transit,2010,CoRoT
CoRoT-13 b,CoRoT-13,Transit,2010,CoRoT
CoRoT-13 b,CoRoT-13,Transit,2010,CoRoT
CoRoT-13 b,CoRoT-13,Transit,2010,CoRoT
CoRoT-14 b,CoRoT-14,Transit,2010,CoRoT
CoRoT-14 b,CoRoT-14,Transit,2010,CoRoT
CoRoT-14 b,CoRoT-14,Transit,2010,CoRoT
CoRoT-16 b,CoRoT-16,Transit,2011,CoRoT
CoRoT-16 b,CoRoT-16,Transit,2011,CoRoT
CoRoT-17 b,CoRoT-17,Transit,2011,CoRoT
CoRoT-17 b,CoRoT-17,Transit,2011,CoRoT
CoRoT-17 b,CoRoT-17,Transit,2011,CoRoT
CoRoT-18 b,CoRoT-18,Transit,2011,CoRoT
CoRoT-18 b,CoRoT-18,Transit,2011,CoRoT
CoRoT-18 b,CoRoT-18,Transit,2011,CoRoT
CoRoT-18 b,CoRoT-18,Transit,2011,CoRoT
CoRoT-18 b,CoRoT-18,Transit,2011,CoRoT
CoRoT-18 b,CoRoT-18,Transit,2011,CoRoT
CoRoT-19 b,CoRoT-19,Transit,2011,CoRoT
CoRoT-19 b,CoRoT-19,Transit,2011,CoRoT
CoRoT-19 b,CoRoT-19,Transit,2011,CoRoT
CoRoT-19 b,CoRoT-19,Transit,2011,CoRoT
CoRoT-19 b,CoRoT-19,Transit,2011,CoRoT
CoRoT-2 b,CoRoT-2,Transit,2008,CoRoT
CoRoT-2 b,CoRoT-2,Transit,2008,CoRoT
CoRoT-2 b,CoRoT-2,Transit,2008,CoRoT
CoRoT-2 b,CoRoT-2,Transit,2008,CoRoT
CoRoT-2 b,CoRoT-2,Transit,2008,CoRoT
CoRoT-2 b,CoRoT-2,Transit,2008,CoRoT
CoRoT-2 b,CoRoT-2,Transit,2008,CoRoT
CoRoT-2 b,CoRoT-2,Transit,2008,CoRoT
CoRoT-2 b,CoRoT-2,Transit,2008,CoRoT
CoRoT-2 b,CoRoT-2,Transit,2008,CoRoT
CoRoT-2 b,CoRoT-2,Transit,2008,CoRoT
CoRoT-20 b,CoRoT-20,Transit,2011,CoRoT
CoRoT-20 b,CoRoT-20,Transit,2011,CoRoT
CoRoT-20 b,CoRoT-20,Transit,2011,CoRoT
CoRoT-20 b,CoRoT-20,Transit,2011,CoRoT
CoRoT-20 b,CoRoT-20,Transit,2011,CoRoT
CoRoT-20 b,CoRoT-20,Transit,2011,CoRoT
CoRoT-20 c,CoRoT-20,Radial Velocity,2018,Multiple Observatories
CoRoT-21 b,CoRoT-21,Transit,2012,CoRoT
CoRoT-21 b,CoRoT-21,Transit,2012,CoRoT
CoRoT-22 b,CoRoT-22,Transit,2014,CoRoT
CoRoT-23 b,CoRoT-23,Transit,2011,CoRoT
CoRoT-23 b,CoRoT-23,Transit,2011,CoRoT
CoRoT-23 b,CoRoT-23,Transit,2011,CoRoT
CoRoT-24 b,CoRoT-24,Transit,2014,CoRoT
CoRoT-24 c,CoRoT-24,Transit,2014,CoRoT
CoRoT-25 b,CoRoT-25,Transit,2013,CoRoT
CoRoT-25 b,CoRoT-25,Transit,2013,CoRoT
CoRoT-26 b,CoRoT-26,Transit,2013,CoRoT
CoRoT-26 b,CoRoT-26,Transit,2013,CoRoT
CoRoT-27 b,CoRoT-27,Transit,2014,CoRoT
CoRoT-27 b,CoRoT-27,Transit,2014,CoRoT
CoRoT-28 b,CoRoT-28,Transit,2015,CoRoT
CoRoT-28 b,CoRoT-28,Transit,2015,CoRoT
CoRoT-29 b,CoRoT-29,Transit,2015,CoRoT
CoRoT-29 b,CoRoT-29,Transit,2015,CoRoT
CoRoT-29 b,CoRoT-29,Transit,2015,CoRoT
CoRoT-3 b,CoRoT-3,Transit,2008,CoRoT
CoRoT-3 b,CoRoT-3,Transit,2008,CoRoT
CoRoT-3 b,CoRoT-3,Transit,2008,CoRoT
CoRoT-3 b,CoRoT-3,Transit,2008,CoRoT
CoRoT-3 b,CoRoT-3,Transit,2008,CoRoT
CoRoT-30 b,CoRoT-30,Transit,2020,CoRoT
CoRoT-31 b,CoRoT-31,Transit,2020,CoRoT
CoRoT-35 b,CoRoT-35,Transit,2022,CoRoT
CoRoT-36 b,CoRoT-36,Transit,2022,CoRoT
CoRoT-4 b,CoRoT-4,Transit,2008,CoRoT
CoRoT-4 b,CoRoT-4,Transit,2008,CoRoT
CoRoT-4 b,CoRoT-4,Transit,2008,CoRoT
CoRoT-4 b,CoRoT-4,Transit,2008,CoRoT
CoRoT-5 b,CoRoT-5,Transit,2009,CoRoT
CoRoT-5 b,CoRoT-5,Transit,2009,CoRoT
CoRoT-5 b,CoRoT-5,Transit,2009,CoRoT
CoRoT-5 b,CoRoT-5,Transit,2009,CoRoT
CoRoT-5 b,CoRoT-5,Transit,2009,CoRoT
CoRoT-5 b,CoRoT-5,Transit,2009,CoRoT
CoRoT-6 b,CoRoT-6,Transit,2009,CoRoT
CoRoT-6 b,CoRoT-6,Transit,2009,CoRoT
CoRoT-6 b,CoRoT-6,Transit,2009,CoRoT
CoRoT-6 b,CoRoT-6,Transit,2009,CoRoT
CoRoT-7 b,CoRoT-7,Transit,2009,CoRoT
CoRoT-7 b,CoRoT-7,Transit,2009,CoRoT
CoRoT-7 b,CoRoT-7,Transit,2009,CoRoT
CoRoT-7 b,CoRoT-7,Transit,2009,CoRoT
CoRoT-7 b,CoRoT-7,Transit,2009,CoRoT
CoRoT-7 b,CoRoT-7,Transit,2009,CoRoT
CoRoT-7 b,CoRoT-7,Transit,2009,CoRoT
CoRoT-7 b,CoRoT-7,Transit,2009,CoRoT
CoRoT-7 c,CoRoT-7,Radial Velocity,2009,CoRoT
CoRoT-7 c,CoRoT-7,Radial Velocity,2009,CoRoT
CoRoT-7 c,CoRoT-7,Radial Velocity,2009,CoRoT
CoRoT-7 d,CoRoT-7,Radial Velocity,2022,La Silla Observatory
CoRoT-8 b,CoRoT-8,Transit,2010,CoRoT
CoRoT-8 b,CoRoT-8,Transit,2010,CoRoT
CoRoT-8 b,CoRoT-8,Transit,2010,CoRoT
CoRoT-8 b,CoRoT-8,Transit,2010,CoRoT
CoRoT-9 b,CoRoT-9,Transit,2009,CoRoT
CoRoT-9 b,CoRoT-9,Transit,2009,CoRoT
CoRoT-9 b,CoRoT-9,Transit,2009,CoRoT
CoRoT-9 b,CoRoT-9,Transit,2009,CoRoT
CoRoT-9 b,CoRoT-9,Transit,2009,CoRoT
CoRoTID 223977153 b,CoRoTID 223977153,Transit,2017,CoRoT
CoRoTID 223977153 b,CoRoTID 223977153,Transit,2017,CoRoT
DE CVn b,DE CVn,Eclipse Timing Variations,2018,Multiple Facilities
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,Astrometry,2013,Paranal Observatory
DH Tau b,DH Tau,Imaging,2004,Subaru Telescope
DH Tau b,DH Tau,Imaging,2004,Subaru Telescope
DMPP-1 b,DMPP-1,Radial Velocity,2019,La Silla Observatory
DMPP-1 c,DMPP-1,Radial Velocity,2019,La Silla Observatory
DMPP-1 d,DMPP-1,Radial Velocity,2019,La Silla Observatory
DMPP-1 e,DMPP-1,Radial Velocity,2019,La Silla Observatory
DMPP-2 b,DMPP-2,Radial Velocity,2019,Multiple Facilities
DMPP-3 A b,DMPP-3 A,Radial Velocity,2019,La Silla Observatory
DMPP-3 A b,DMPP-3 A,Radial Velocity,2019,La Silla Observatory
DMPP-4 b,DMPP-4,Radial Velocity,2023,Multiple Observatories
DP Leo b,DP Leo,Eclipse Timing Variations,2009,Yunnan Astronomical Observatory
DP Leo b,DP Leo,Eclipse Timing Variations,2009,Yunnan Astronomical Observatory
DS Tuc A b,DS Tuc A,Transit,2019,Transiting Exoplanet Survey Satellite (TESS)
DS Tuc A b,DS Tuc A,Transit,2019,Transiting Exoplanet Survey Satellite (TESS)
DS Tuc A b,DS Tuc A,Transit,2019,Transiting Exoplanet Survey Satellite (TESS)
EPIC 201170410.02,EPIC 201170410,Transit,2020,K2
EPIC 201238110 b,EPIC 201238110,Transit,2019,K2
EPIC 201238110 b,EPIC 201238110,Transit,2019,K2
EPIC 201427007 b,EPIC 201427007,Transit,2021,K2
EPIC 201497682 b,EPIC 201497682,Transit,2019,K2
EPIC 201595106 b,EPIC 201595106,Transit,2021,K2
EPIC 201595106 b,EPIC 201595106,Transit,2021,K2
EPIC 201595106 b,EPIC 201595106,Transit,2021,K2
EPIC 201615463 c,K2-166,Transit,2019,K2
EPIC 201754305 d,K2-16,Transit,2019,K2
EPIC 201757695.02,EPIC 201757695,Transit,2020,K2
EPIC 201833600 c,K2-50,Transit,2019,K2
EPIC 201833600 c,K2-50,Transit,2019,K2
EPIC 201841433 b,EPIC 201841433,Transit,2019,K2
EPIC 201841433 b,EPIC 201841433,Transit,2019,K2
EPIC 201841433 b,EPIC 201841433,Transit,2019,K2
EPIC 205950854 c,K2-168,Transit,2019,K2
EPIC 205950854 c,K2-168,Transit,2019,K2
EPIC 205950854 c,K2-168,Transit,2019,K2
EPIC 206024342 b,EPIC 206024342,Transit,2019,K2
EPIC 206024342 b,EPIC 206024342,Transit,2019,K2
EPIC 206024342 c,EPIC 206024342,Transit,2021,K2
EPIC 206024342 c,EPIC 206024342,Transit,2021,K2
EPIC 206024342 c,EPIC 206024342,Transit,2021,K2
EPIC 206024342 d,EPIC 206024342,Transit,2021,K2
EPIC 206024342 d,EPIC 206024342,Transit,2021,K2
EPIC 206024342 d,EPIC 206024342,Transit,2021,K2
EPIC 206024342 d,EPIC 206024342,Transit,2021,K2
EPIC 206032309 b,EPIC 206032309,Transit,2019,K2
EPIC 206042996 b,EPIC 206042996,Transit,2019,K2
EPIC 206042996 b,EPIC 206042996,Transit,2019,K2
EPIC 206042996 b,EPIC 206042996,Transit,2019,K2
EPIC 206042996 c,EPIC 206042996,Transit,2021,K2
EPIC 206042996 c,EPIC 206042996,Transit,2021,K2
EPIC 206215704 b,EPIC 206215704,Transit,2019,K2
EPIC 206215704 b,EPIC 206215704,Transit,2019,K2
EPIC 206215704 b,EPIC 206215704,Transit,2019,K2
EPIC 206317286 b,EPIC 206317286,Transit,2019,K2
EPIC 206317286 b,EPIC 206317286,Transit,2019,K2
EPIC 206317286 c,EPIC 206317286,Transit,2022,K2
EPIC 206317286 c,EPIC 206317286,Transit,2022,K2
EPIC 206317286 c,EPIC 206317286,Transit,2022,K2
EPIC 211822797 b,EPIC 211822797,Transit,2016,K2
EPIC 211822797 b,EPIC 211822797,Transit,2016,K2
EPIC 211822797 b,EPIC 211822797,Transit,2016,K2
EPIC 211822797 b,EPIC 211822797,Transit,2016,K2
EPIC 211822797 b,EPIC 211822797,Transit,2016,K2
EPIC 211822797 b,EPIC 211822797,Transit,2016,K2
EPIC 211945201 b,EPIC 211945201,Transit,2018,K2
EPIC 211945201 b,EPIC 211945201,Transit,2018,K2
EPIC 211945201 b,EPIC 211945201,Transit,2018,K2
EPIC 211945201 b,EPIC 211945201,Transit,2018,K2
EPIC 211945201 b,EPIC 211945201,Transit,2018,K2
EPIC 211945201 b,EPIC 211945201,Transit,2018,K2
EPIC 211945201 b,EPIC 211945201,Transit,2018,K2
EPIC 211945201 b,EPIC 211945201,Transit,2018,K2
EPIC 211945201 b,EPIC 211945201,Transit,2018,K2
